Ticker,Entry_Date,Entry_Price,Shares,Trailing_Stop,Current_Price,Invested_Value,Current_Value,PnL,Return_%
LAURUSLABS.NS,2026-06-09,1438.5,8,1567.6550415039062,1844.300048828125,11508.0,14754.400390625,3246.400390625,28.209944305048662
NMDC.NS,2026-06-09,90.7699966430664,137,77.29050025939941,84.91999816894531,12435.489540100098,11634.039749145508,-801.4497909545898,-6.444859194084762
MAHABANK.NS,2026-06-16,89.19999694824219,139,76.66150207519532,78.44999694824219,12398.799575805664,10904.549575805664,-1494.25,-12.051569919041171
MOTILALOFS.NS,2026-06-16,940.4500122070312,13,832.4474792480469,870.0,12225.850158691406,11310.0,-915.8501586914062,-7.491095889477462
INDHOTEL.NS,2026-06-16,689.75,17,639.4549896240234,731.0,11725.75,12427.0,701.25,5.980427691192469
ICICIGI.NS,2026-06-23,1869.4000244140625,6,1588.9900207519531,1639.0,11216.400146484375,9834.0,-1382.400146484375,-12.324811244520994
IOB.NS,2026-06-23,35.09000015258789,357,29.826500129699703,34.29999923706055,12527.130054473877,12245.099727630615,-282.0303268432617,-2.2513562613053484
PERSISTENT.NS,2026-08-05,5325.0,2,4653.75,5475.0,10650.0,10950.0,300.0,2.8169014084507005
